"","varcode","russian","english","five_most_popular_values","number_of_valid","number_of_missing"
"690","re13.2a","Тратила ли Ваша семья в течение последних 30 дней деньги на путевки в санатории дома отдыха детские лагеря на туристические поездки и другое исключая расходы на транспорт? ","Does your family spend in the last 30 days money on trips to resorts holiday homes children's camps the tourist trips and other excluding transport costs?","Нет | Да | НЕТ ОТВЕТА",8149,0
"691","re1.32b","Сколько литров кисломолочных продуктов: кефира йогурта и других Ваша семья купила в течение последних 7 дней? ","How many liters of milk products: yogurt yogurt and other Your family bought in the last 7 days?","1.00e+00 | 2.00e+00 | 5.00e-01 | 3.00e+00 | 1.50e+00 | 1.00e+08",4128,4021
"692","re13.2b","Сколько всего рублей Ваша семья истратила на путевки в санатории дома отдыха детские лагеря на туристические поездки и другое исключая расходы на транспорт? ","How many rubles your family spent on trips to resorts holiday homes children's camps the tourist trips and other excluding transport costs?","   30000 |    10000 |     7000 |    35000 |    60000 |     1000",176,7973
"693","re1.32c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за кисломолочные продукты: кефир йогурт и другие? ","How many rubles your family paid in the last 7 days for milk products: yogurt yogurt and others?","6.000e+01 | 1.000e+02 | 8.000e+01 | 1.200e+02 | 4.000e+01 | 7.000e+01",4128,4021
"694","re13.31a","Тратила ли Ваша семья в течение последних 30 дней деньги на лекарства включая витамины и другие медикаменты? ","Does your family spend in the last 30 days money on medications including vitamins and other medicines?","Да | Нет | НЕТ ОТВЕТА",8149,0
"695","re13.31b","Сколько всего рублей Ваша семья истратила на лекарства включая витамины и другие медикаменты? ","How many rubles your family spent on medicines including vitamins and other medicines?","    1000 |      500 |     2000 |     1500 |      300 |     3000",6002,2147
"696","re13.32a","Тратила ли Ваша семья в течение последних 30 дней деньги на моющие средства например хозяйственное мыло стиральный порошок и другие? ","Does your family spend in the last 30 days money on detergents such as laundry soap washing powder and other?","Да | Нет | НЕТ ОТВЕТА",8149,0
"697","re13.32b","Сколько всего рублей Ваша семья истратила на моющие средства например хозяйственное мыло стиральный порошок и другие? ","How many rubles your family spent on cleaning products such as soap washing powder and other?","3.0000e+02 | 2.0000e+02 | 5.0000e+02 | 1.0000e+02 | 1.0000e+03 | 1.5000e+02",6619,1530
"698","re13.33a","Тратила ли Ваша семья в течение последних 30 дней деньги на средства личной гигиены например туалетное мыло шампунь зубная паста туалетная бумага салфетки памперсы прокладки? ","Does your family spend in the last 30 days the money for personal care products such as soap shampoo toothpaste toilet paper napkins diapers pads?","Да | Нет | НЕТ ОТВЕТА",8149,0
"699","re13.33b","Сколько всего рублей Ваша семья истратила на средства личной гигиены например туалетное мыло шампунь зубную пасту туалетную бумагу салфетки памперсы прокладки? ","How many rubles your family spent on personal care products such as soap shampoo toothpaste toilet paper napkins diapers pads?","2.0000e+02 | 3.0000e+02 | 5.0000e+02 | 1.0000e+02 | 1.5000e+02 | 1.0000e+03",6905,1244
"700","re13.34a","Тратила ли Ваша семья в течение последних 30 дней деньги на косметику и парфюмерию? ","Does your family spend in the last 30 days money on cosmetics and perfumes?","Нет | Да | НЕТ ОТВЕТА",8149,0
"701","re13.34b","Сколько всего рублей Ваша семья истратила на косметику и парфюмерию? ","How many rubles your family spent on cosmetics and perfumes?","5.0000e+02 | 1.0000e+03 | 3.0000e+02 | 2.0000e+02 | 2.0000e+03 | 1.5000e+03",2240,5909
"702","re1.33a","Ваша семья покупала за последние 7 дней сметану сливки? ","Your family bought in the last 7 days of sour cream cream?","Нет | Да | НЕТ ОТВЕТА",8149,0
"703","re1.33b","Сколько литров сметаны сливок Ваша семья купила в течение последних 7 дней? ","How many liters of sour cream cream your family bought in the last 7 days?","5.00e-01 | 1.00e+00 | 4.00e-01 | 2.00e-01 | 2.50e-01 | 3.00e-01",3941,4208
"704","re1.33c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за сметану сливки? ","How many rubles your family paid in the last 7 days for sour cream cream?","6.000e+01 | 5.000e+01 | 4.000e+01 | 1.000e+02 | 7.000e+01 | 8.000e+01",3941,4208
